,id,name,abrev,color,alt_color,mascot,logos
720,2634,Tennessee State,TNST,#171796,#f0f0f0,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png
721,2635,Tennessee Tech,TNTC,#5A4099,#ffde00,Golden Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png
1692,1000757,Tennessee Wesleyan,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1690,1000301,Tennessee-Memphis,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
722,251,Texas,TEX,#EE7524,#f0f0f0,Longhorns,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
723,245,Texas A&M,TA&M,#5C0025,#ffffff,Aggies,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
725,1000945,Texas A&M Commerce,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
724,1000958,Texas A&M Commerce,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
726,2837,Texas A&M-Commerce,TXA,#000000,,Lions,http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png
1693,1000876,Texas A&M-Corpus Christi,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
727,2658,Texas A&M-Kingsville,TXA,#000000,,Javelinas,http://a.espncdn.com/i/teamlogos/ncaa/500/2658.png
728,2637,Texas College,TXCL,#FFFFFF,,Steers,http://a.espncdn.com/i/teamlogos/ncaa/500/2637.png
1695,1000322,Texas Deaf School,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
729,2639,Texas Lutheran,TEX,#000000,,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2639.png
1696,1000730,Texas Military,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
731,2640,Texas Southern,TXSO,#6A0403,#ebebeb,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png
732,326,Texas State,TXST,#4e1719,#b4975a,Bobcats,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
733,2641,Texas Tech,TTU,#C80025,#231f20,Red Raiders,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
734,102626,Texas Wesleyan,TXWE,#FFFFFF,,Rams,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1697,1000760,Texas Wesleyan,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1694,1000058,Texas-Arlington,,#FFFFFF,,Mavericks,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
730,1000938,Texas-Permian Basin,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
735,122776,Thaddeus Stevens,TSCT,#FFFFFF,,Bulldogs,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
736,2643,The Citadel,CIT,#002b5c,#f0f0f0,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png
1698,1000685,Thiel,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1699,2644,Thiel College,THI,#000000,,Tomcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2644.png
1700,1000901,Third Air Force,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
737,2646,Thomas More,THO,#000000,,Saints,http://a.espncdn.com/i/teamlogos/ncaa/500/2646.png
738,2838,Tiffin,TIF,#000000,,Dragons,http://a.espncdn.com/i/teamlogos/ncaa/500/2838.png
739,625,Tiffin University,TIF,#FFFFFF,,Dragons,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1701,1000088,Tioga,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
